iteration,SERIALNO,family_type,economic_unit_child_care,economic_unit_rent,economic_unit_food,economic_unit_health_ins,ces_trans,ces_other,economic_unit_meps,total_expenses,household_income
20,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,73647.25422923829
20,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,70140.24212308407
21,1,One adult,0,7128,3349,1977,3900,2607,423,18961,21673.33481603298
21,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,43346.66963206596
21,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,46958.89210140478
21,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,75856.67185611544
21,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,72244.4493867766
22,1,One adult,0,7128,3349,1977,3900,2607,423,18961,22323.53486051397
22,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,44647.06972102794
22,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,48367.65886444692
22,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,78132.3720117989
22,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,74411.7828683799
23,1,One adult,0,7128,3349,1977,3900,2607,423,18961,22993.24090632939
23,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,45986.48181265878
23,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,49818.68863038033
23,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,80476.34317215288
23,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,76644.1363544313
24,1,One adult,0,7128,3349,1977,3900,2607,423,18961,23683.038133519272
24,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,47366.076267038545
24,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,51313.24928929174
24,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,82890.63346731747
24,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,78943.46044506425
25,1,One adult,0,7128,3349,1977,3900,2607,423,18961,24393.529277524853
25,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,48787.058555049705
25,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,52852.646767970495
25,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,85377.352471337
25,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,81311.76425841618
26,1,One adult,0,7128,3349,1977,3900,2607,423,18961,25125.3351558506
26,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,50250.6703117012
26,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,54438.22617100961
26,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,87938.67304547712
26,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,83751.11718616867
27,1,One adult,0,7128,3349,1977,3900,2607,423,18961,25879.09521052612
27,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,51758.19042105224
27,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,56071.3729561399
27,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,90576.83323684143
27,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,86263.65070175374
28,1,One adult,0,7128,3349,1977,3900,2607,423,18961,26655.468066841906
28,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,53310.93613368381
28,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,57753.5141448241
28,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,93294.13823394667
28,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,88851.56022280635
29,1,One adult,0,7128,3349,1977,3900,2607,423,18961,27455.132108847163
29,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,54910.264217694326
29,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,59486.11956916882
29,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,96092.96238096507
29,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,91517.10702949054
30,1,One adult,0,7128,3349,1977,3900,2607,423,18961,28278.78607211258
30,2,Two adults,0,7128,6205,4007,9077,4784,846,31201,56557.57214422516
30,3,"Two adults, one working, with a 2 and 4 year old",0,8856,9202,3888,9790,4499,1012,36235,61270.703156243886
30,4,Two working adults with a 2 and 4 year old,14371,8856,9202,3888,9790,4499,1012,50606,98975.75125239402
30,5,One adult with a 2 and 4 year old,14371,8856,5853,4243,7615,4337,589,45275,94262.62024037525
